date, pm25, pm10, o3, no2, so2, co
2023/4/15, 100, 66, 105, 21, 1, 5
2023/4/16, 123, 74, 78, 17, 2, 4
2023/4/17, 135, 41, 56, 9, , 3
2023/4/18, 75, 49, 70, 9, , 4
2023/4/19, 98, 30, 39, 7, , 4
2023/4/20, 71, 30, 25, 2, , 2
2023/4/21, 55, 15, 27, 4, , 1
2023/4/22, 24, 17, 23, 6, , 2
2023/4/23, 23, 21, 24, 8, , 2
2023/4/24, 31, 35, 41, 10, , 3
2023/4/25, 66, 56, 64, 15, 2, 3
2023/4/26, 104, 60, 70, 9, 1, 3
2023/4/27, 115, 51, 31, 9, , 3
2023/4/28, 104, 54, 47, 5, , 1
2023/4/29, 73, 67, 56, 15, , 2
2023/4/30, 94, 68, 71, 14, 1, 3
2023/5/1, 127, 47, 59, 2, , 3
2023/5/2, 89, 49, 50, 5, , 4
2023/5/3, 94, 49, 62, 8, , 4
2023/5/4, 97, 64, 45, 9, , 4
2023/5/5, 111, 47, 46, 6, , 3
2023/5/6, 85, 29, 28, 5, , 4
2023/5/7, 64, 17, 18, 3, , 3
2023/5/8, 39, 11, 13, 4, 1, 3
2023/5/9, 28, 19, 31, 4, , 4
2023/5/10, 39, 29, 32, 7, , 3
2023/5/11, 50, 46, 47, 14, , 4
2023/5/12, 74, 45, 48, 12, , 4
2023/5/13, 80, 61, 64, 19, , 5
2023/5/14, 116, 71, 79, 18, 1, 6
2023/5/15, 150, 73, 117, 16, 1, 5
2023/5/16, 153, 81, 83, 23, 1, 5
2023/5/17, 158, 34, 50, 6, , 2
2023/5/18, 73, 46, 58, 4, , 3
2023/5/19, 99, 48, 35, 11, , 5
2023/5/20, 108, 53, 24, 7, , 3
2023/5/21, 109, 44, 27, 8, , 3
2023/5/22, 82, 48, 56, 8, , 4
2023/5/23, 97, 63, 62, 17, , 5
2023/5/24, 140, 57, 39, 11, , 3
2023/5/25, 131, 46, 44, 14, 1, 3
2023/5/26, 89, 41, 35, 11, , 2
2023/5/27, 86, 45, 46, 11, 1, 3
2023/5/28, 100, 50, 86, 11, 1, 4
2023/5/29, 89, 56, 118, 13, 2, 5
2023/5/30, 114, 44, 57, 5, , 4
2023/5/31, 95, 23, 38, 3, , 2
2023/6/1, 43, 15, 31, 2, , 2
2023/6/2, 25, 11, 29, 3, , 2
2023/6/3, 18, 12, 34, 3, , 3
2023/6/4, 22, 18, 42, 7, , 4
2023/6/5, 29, 38, 88, 12, 1, 5
2023/6/6, 65, 41, 88, 7, 1, 4
2023/6/7, 72, 48, 57, 13, 1, 5
2023/6/8, 86, 67, 77, 20, 1, 7
2023/6/9, 132, 53, 66, 11, 2, 5
2023/6/10, 106, 24, 54, 10, 1, 4
2023/6/11, 33, 37, 96, 12, 1, 5
2023/6/12, 63, 34, 74, 6, 1, 4
2023/6/13, 58, 32, 43, 9, 1, 3
2023/6/14, 55, 29, 36, 8, , 4
2023/6/15, 70, 35, 22, 9, , 4
2023/6/16, 79, 42, 48, 7, , 5
2023/6/17, 95, 50, 75, 9, , 5
2023/6/18, 115, 43, 35, 14, 1, 4
2023/6/19, 69, 53, 44, 19, 2, 6
2023/6/20, 80, 24, 45, 7, 1, 4
2023/6/21, 41, 31, 76, 7, 1, 4
2023/6/22, 43, 35, 83, 3, 1, 4
2023/6/23, 56, 36, 94, 8, 2, 5
2023/6/24, 65, 39, 92, 9, , 6
2023/6/25, 75, 40, 95, 9, , 7
2023/6/26, 81, 35, 82, 5, 1, 7
2023/6/27, 66, 40, 53, 4, , 5
2023/6/28, 69, 34, 48, 8, , 5
2023/6/29, 55, 33, 58, 9, , 4
2023/6/30, 50, 38, 73, 10, 1, 6
2023/1/11, 195, 90, 29, 17, 1, 10
2023/1/12, 178, 91, 21, 16, 1, 9
2023/1/13, 163, 109, 22, 3, , 3
2023/1/14, 130, 68, 18, 4, , 3
2023/1/15, 79, 65, 16, 8, , 3
2023/1/16, 102, 69, 24, 8, 1, 3
2023/1/17, 122, 63, 32, 6, 1, 3
2023/1/18, 105, 58, 34, 8, 1, 4
2023/1/19, 125, 52, 30, 10, 1, 4
2023/1/20, 114, 58, 18, 4, , 6
2023/1/21, 140, 101, 28, 5, 1, 7
2023/1/22, 204, 65, 31, 3, 1, 5
2023/1/23, 157, 60, 26, 2, , 2
2023/1/24, 75, 71, 24, 4, 1, 3
2023/1/25, 110, 72, 25, 7, 1, 6
2023/1/26, 151, 63, 30, 14, 1, 6
2023/1/27, 109, 64, 30, 17, 2, 7
2023/1/28, 116, 72, 34, 20, 1, 9
2023/1/29, 147, 85, 33, 25, 1, 9
2023/1/30, 164, 96, 35, 30, 3, 10
2023/1/31, 175, 90, 12, 33, 1, 10
2023/2/1, 169, 64, 43, 16, 1, 6
2023/2/2, 129, 89, 38, 22, 1, 8
